spf_pass,dkim_pass,dmarc_pass,num_links,num_urgency_keywords,num_link_mismatches,brand_mismatch,embedded_address_mismatch,generic_authority_sender,suspicious_local_part,reply_to_mismatch,homograph_domain,filename,label
1,1,1,4,0,0,0,0,1,0,1,0,"ABCSI (thru InvestaTrade) - New FOO Alert_ TOPA1,TOPA2.eml",0
1,1,1,16,0,0,0,0,0,0,0,0,eml_0005.eml,0
1,1,1,12,0,0,0,0,0,0,0,0,eml_0027.eml,0
1,1,1,9,0,0,0,0,0,0,0,0,eml_0054.eml,0
1,1,1,10,0,0,0,0,0,0,0,0,eml_0059.eml,0
1,1,1,5,0,0,0,0,0,0,0,0,eml_0095.eml,0
1,1,1,4,0,0,0,0,0,0,0,0,eml_0160.eml,0
1,1,1,22,0,0,0,0,0,0,0,0,eml_0173.eml,0
1,1,1,5,0,0,0,0,0,0,0,0,eml_0205.eml,0
1,1,1,13,0,0,0,0,0,0,0,0,eml_0218.eml,0
1,1,1,4,0,0,0,0,0,0,0,0,eml_0245.eml,0
1,1,1,13,0,1,0,0,0,0,0,0,eml_0258.eml,0
1,1,1,10,1,0,0,0,0,0,0,0,eml_0261.eml,0
1,1,1,9,1,1,0,0,0,0,0,0,eml_0263.eml,0
1,1,1,13,0,0,0,0,0,0,0,0,eml_0356.eml,0
1,1,1,5,0,0,0,0,0,0,0,0,eml_0376.eml,0
1,1,1,8,0,0,0,0,0,0,0,0,eml_0386.eml,0
1,1,1,6,0,0,0,0,0,0,0,0,eml_0459.eml,0
1,1,1,4,0,0,0,0,0,0,0,0,eml_0475.eml,0
1,1,1,6,0,0,0,0,0,0,0,0,eml_0483.eml,0
1,1,1,14,0,1,0,0,0,0,0,0,eml_0521.eml,0
1,1,1,11,0,0,0,0,0,0,0,0,eml_0525.eml,0
1,1,1,10,0,0,0,0,0,0,0,0,eml_0543.eml,0
1,1,1,4,0,0,0,0,0,0,0,0,eml_0553.eml,0
1,1,1,58,0,0,0,0,0,0,1,0,eml_0567.eml,0
1,1,1,10,0,0,0,0,0,0,0,0,eml_0570.eml,0
1,1,1,4,0,0,0,0,0,0,0,0,eml_0581.eml,0
1,1,1,10,0,0,0,0,0,0,0,0,eml_0582.eml,0
1,1,1,10,0,0,0,0,0,0,0,0,eml_0585.eml,0
1,1,1,4,0,0,0,0,0,0,0,0,eml_0646.eml,0
1,1,1,4,0,0,0,0,0,0,0,0,eml_0654.eml,0
1,1,1,6,0,1,0,0,0,0,0,0,eml_0702.eml,0
1,1,1,9,0,1,0,0,0,0,0,0,eml_0713.eml,0
1,1,1,59,0,0,0,0,0,0,0,0,eml_0745.eml,0
1,1,1,24,0,0,0,0,0,0,0,0,eml_0760.eml,0
1,1,1,18,0,1,0,0,0,0,0,0,eml_0768.eml,0
0,0,0,0,0,0,0,0,0,0,0,0,eml_0773.eml,0
1,1,1,2,0,0,0,0,0,0,0,0,eml_0793.eml,0
1,1,1,2,0,0,0,0,0,0,0,0,eml_0828.eml,0
1,1,1,61,0,0,0,0,0,0,0,0,eml_0838.eml,0
1,1,1,10,0,0,0,0,0,0,0,0,eml_0840.eml,0
1,1,1,8,0,0,0,0,0,0,0,0,eml_0872.eml,0
1,1,1,10,0,0,0,0,0,0,0,0,eml_0899.eml,0
1,1,1,2,1,0,0,0,0,0,0,0,eml_0913.eml,0
0,0,0,1,0,0,0,0,0,0,0,0,eml_0914.eml,0
1,1,1,5,0,0,0,0,0,0,0,0,eml_0917.eml,0
1,1,1,0,0,2,0,0,0,0,1,0,eml_0939.eml,0
0,0,0,0,0,0,0,0,0,0,0,0,eml_0992.eml,0
1,1,1,6,0,0,0,0,0,0,0,0,eml_1023.eml,0
